category,index,month-day,year,title,abstract
FeElectric,WOS:000371563700027,3-Mar,2016,Origin of J-V Hysteresis in Perovskite Solar Cells,"High-performance perovskite solar cells (PSCs) based on organometal halide perovskite have emerged in the past five years as excellent devices for harvesting solar energy. Some remaining challenges should be resolved to continue the momentum in their development. The photocurrent density-voltage (J-V) responses of the PSCs demonstrate anomalous dependence on the voltage scan direction/rate/range, voltage conditioning history, and device configuration. The hysteretic J-V behavior presents a challenge for determining the accurate power conversion efficiency of the PSCs. Here, we review the recent progress on the investigation of the origin(s) of J-V hysteresis behavior in PSCs. We discuss the impact of slow transient capacitive current, trapping and detrapping process, ion migrations, and ferroelectric polarization on the hysteresis behavior. The remaining issues and future research required toward the understanding of J-V hysteresis in PSCs will also be discussed."
FeElectric,WOS:000216598200044,15-Oct,2015,Fingertip skin-inspired microstructured ferroelectric skins discriminate static/dynamic pressure and temperature stimuli,"In human fingertips, the fingerprint patterns and interlocked epidermal-dermal microridges play a critical role in amplifying and transferring tactile signals to various mechanoreceptors, enabling spatiotemporal perception of various static and dynamic tactile signals. Inspired by the structure and functions of the human fingertip, we fabricated fingerprint-like patterns and interlocked microstructures in ferroelectric films, which can enhance the piezoelectric, pyroelectric, and piezoresistive sensing of static and dynamic mechanothermal signals. Our flexible and microstructured ferroelectric skins can detect and discriminate between multiple spatiotemporal tactile stimuli including static and dynamic pressure, vibration, and temperature with high sensitivities. As proof-of-concept demonstration, the sensors have been used for the simultaneous monitoring of pulse pressure and temperature of artery vessels, precise detection of acoustic sounds, and discrimination of various surface textures. Our microstructured ferroelectric skins may find applications in robotic skins, wearable sensors, and medical diagnostic devices."
FeElectric,WOS:000365460700030,19-Nov,2015,Control of I-V Hysteresis in CH3NH3PbI3 Perovskite Solar Cell,"Mismatch of current (I)-voltage (V) curves with respect to the scan direction, so-called I-V hysteresis, raises critical issue in MAPbI(3) (MA = CH3NH3) perovskite solar cell. Although ferroelectric and ion migration have been proposed as a basis for the hysteresis, origin of hysteresis has not been apparently unraveled. We report here on the origin of I-V hysteresis of perovskite solar cell that was systematically evaluated by the interface-dependent electrode polarizations. Frequency (f)-dependent capacitance (C) revealed that the normal planar structure with the TiO2/MAPbI(3)/spiro-MeOTAD configuration showed most significant I-V hysteresis along with highest capacitance (10(-2) F/cm(2)) among the studied cell configurations. Substantial reduction in capacitance to 10(-3) F/cm(2) was observed upon replacing TiO2 with PCBM, indicative of the TiO2 layer being mainly responsible for the hysteresis. The capacitance was intensively reduced to 10(-5) F/cm(2) and C-f feature shifted to higher frequency for the hysteresis-free planar structures with combination of PEDOT:PSS, NiO, and PCBM, which underlines the spiro-MeOTAD in part contributes to the hysteresis. This work is expected to provide a key to the solution of the problem on I-V hysteresis in perovskite solar cell."
FeElectric,WOS:000365898400025,15-Dec,2015,Orbitally driven giant phonon anharmonicity in SnSe,"Understanding elementary excitations and their couplings in condensed matter systems is critical for developing better energy-conversion devices. In thermoelectric materials, the heat-to-electricity conversion efficiency is directly improved by suppressing the propagation of phonon quasiparticles responsible for macroscopic thermal transport. The current record material for thermoelectric conversion efficiency, SnSe, has an ultralow thermal conductivity, but the mechanism behind the strong phonon scattering remains largely unknown. From inelastic neutron scattering measurements and first-principles simulations, we mapped the four-dimensional phonon dispersion surfaces of SnSe, and found the origin of the ionic-potential anharmonicity responsible for the unique properties of SnSe. We show that the giant phonon scattering arises from an unstable electronic structure, with orbital interactions leading to a ferroelectric-like lattice instability. The present results provide a microscopic picture connecting electronic structure and phonon anharmonicity in SnSe, and offers new insights on how electron-phonon and phonon-phonon interactions may lead to the realization of ultralow thermal conductivity."
FeElectric,WOS:000355540900001,15-May,2015,A lead-halide perovskite molecular ferroelectric semiconductor,"Inorganic semiconductor ferroelectrics such as BiFeO3 have shown great potential in photovoltaic and other applications. Currently, semiconducting properties and the corresponding application in optoelectronic devices of hybrid organo-plumbate or stannate are a hot topic of academic research; more and more of such hybrids have been synthesized. Structurally, these hybrids are suitable for exploration of ferroelectricity. Therefore, the design of molecular ferroelectric semiconductors based on these hybrids provides a possibility to obtain new or high-performance semiconductor ferroelectrics. Here we investigated Pb-layered perovskites, and found the layer perovskite (benzylammonium)(2)PbCl4 is ferroelectric with semiconducting behaviours. It has a larger ferroelectric spontaneous polarization P-s = 13 mu C cm(-2) and a higher Curie temperature T-c = 438 K with a band gap of 3.65 eV. This finding throws light on the new properties of the hybrid organo-plumbate or stannate compounds and provides a new way to develop new semiconductor ferroelectrics."
FeElectric,WOS:000386103700024,12-Oct,2016,Superior Piezoelectric Properties in Potassium-Sodium Niobate Lead-Free Ceramics,"A superior piezoelectric coefficient (d(33) = 570 +/- 10 pC N-1), the highest value reported to date in potassium-sodium niobate-based ceramics, is obtained in (1-x-y)K1-wNawNb1-zSbzO3-yBaZrO3-x-Bi0.5K 0.5HfO3 ceramics. This high d(33) value can be ascribed to the co-existence of ""nano-scale strain domains"" (1-2 nm) and a high density of ferroelectric domain boundaries. Therefore, ternary KNN-based ceramics demonstrate the potential for applications."
FeElectric,WOS:000348600200015,15-Feb,2015,Negative capacitance in a ferroelectric capacitor,"The Boltzmann distribution of electrons poses a fundamental barrier to lowering energy dissipation in conventional electronics, often termed as Boltzmann Tyranny(1-5). Negative capacitance in ferroelectric materials, which stems from the stored energy of a phase transition, could provide a solution, but a direct measurement of negative capacitance has so far been elusive(1-3). Here, we report the observation of negative capacitance in a thin, epitaxial ferroelectric film. When a voltage pulse is applied, the voltage across the ferroelectric capacitor is found to be decreasing with time-in exactly the opposite direction to which voltage for a regular capacitor should change. Analysis of this 'inductance'-like behaviour from a capacitor presents an unprecedented insight into the intrinsic energy profile of the ferroelectric material and could pave the way for completely new applications."
FeElectric,WOS:000347513700024,1-Jan,2015,Emergence of Hysteresis and Transient Ferroelectric Response in Organo-Lead Halide Perovskite Solar Cells,"Although there has been rapid progress in the efficiency of perovskite-based solar cells, hysteresis in the current-voltage performance is not yet completely understood. Owing to its complex structure, it is not easy to attribute the hysteretic behavior to any one of different components, such as the bulk of the perovskite or different heterojunction interfaces. Among organo-lead halide perovskites, methylammonium lead iodide perovskite (CH3NH3PbI3) is known to have a ferroelectric property. The present investigation reveals a strong correlation between transient ferroelectric polarization of CH3NH3PbI3 induced by an external bias in the dark and hysteresis enhancement in photovoltaic characteristics. Our results demonstrate that the reverse bias poling (-0.3 to -1.1 V) of CH3NH3PbI3 photovoltaic layers prior to the photocurrent-voltage measurement generates stronger hysteresis whose extent changes significantly by the cell architecture. The phenomenon is interpreted as the effect of remanent polarization in the perovskite film on the photocurrent, which is most enhanced in planar perovskite structures without mesoporous scaffolds."
FeElectric,WOS:000386257300004,16-Aug,2016,The evolution of multiferroics,"Materials with a coexistence of magnetic and ferroelectric order - multiferroics - provide an efficient route for the control of magnetism by electric fields. The study of multiferroics dates back to the 1950s, but in recent years, key discoveries in theory, synthesis and characterization techniques have led to a new surge of interest in these materials. Different mechanisms, such as lone-pair, geometric, charge-ordering and spin-driven effects, can support multiferroicity. The general focus of the field is now shifting into neighbouring research areas, as we discuss in this Review. Multiferroic thin-film heterostructures, device architectures, and domain and interface effects are explored. The violation of spatial and inversion symmetry in multiferroic materials is a key feature because it determines their properties. Other aspects, such as the non-equilibrium dynamics of multiferroics, are underrated and should be included in the topics that will define the future of the field."
FeElectric,WOS:000351216500001,18-Mar,2015,Ferroelectricity and Antiferroelectricity of Doped Thin HfO2-Based Films,"The recent progress in ferroelectricity and antiferroelectricity in HfO2-based thin films is reported. Most ferroelectric thin film research focuses on perovskite structure materials, such as Pb(Zr,Ti)O-3, BaTiO3, and SrBi2Ta2O9, which are considered to be feasible candidate materials for non-volatile semiconductor memory devices. However, these conventional ferroelectrics suffer from various problems including poor Si-compatibility, environmental issues related to Pb, large physical thickness, low resistance to hydrogen, and small bandgap. In 2011, ferroelectricity in Si-doped HfO2 thin films was first reported. Various dopants, such as Si, Zr, Al, Y, Gd, Sr, and La can induce ferroelectricity or antiferroelectricity in thin HfO2 fi lms. They have large remanent polarization of up to 45 mu C cm(-2), and their coercive field (approximate to 1-2 MV c(-1)) is larger than conventional ferroelectric fi lms by approximately one order of magnitude. Furthermore, they can be extremely thin (<10 nm) and have a large bandgap (>5 eV). These differences are believed to overcome the barriers of conventional ferroelectrics in memory applications, including ferroelectric field-effect-transistors and three-dimensional capacitors. Moreover, the coupling of electric and thermal properties of the antiferroelectric thin fi lms is expected to be useful for various applications, including energy harvesting/storage, solid-state-cooling, and infrared sensors."
FeElectric,WOS:000366339600003,15-Dec,2015,Rashba Spin-Orbit Coupling Enhanced Carrier Lifetime in CH(3)NH(3)Pbl(3),"Organometal halide perovskites are promising solar-cell materials for next-generation photovoltaic applications. The long carrier lifetime and diffusion length of these materials make them very attractive for use in light absorbers and carrier transporters. While these aspects of organometal halide perovskites have attracted the most attention, the consequences of the Rashba effect, driven by strong spin orbit coupling, on the photovoltaic properties of these materials are largely unexplored. In this work, taking the electronic structure of CH3NH3PbI3 (methylammonium lead iodide) as an example, we propose an intrinsic mechanism for enhanced carrier lifetime in three-dimensional (3D) Rashba materials. On the basis of first-principles calculations and a Rashba spin orbit model, we demonstrate that the recombination rate is reduced due to the spin-forbidden transition. These results are important for understanding the fundamental physics of organometal halide perovskites and for optimizing and designing the materials with better performance. The proposed mechanism including spin degrees of freedom offers a new paradigm of using 3D Rashba materials for photovoltaic applications."
FeElectric,WOS:000369916700034,11-Feb,2016,Observation of polar vortices in oxide superlattices,"The complex interplay of spin, charge, orbital and lattice degrees of freedom provides a plethora of exotic phases and physical phenomena(1-5). In recent years, complex spin topologies have emerged as a consequence of the electronic band structure and the interplay between spin and spin-orbit coupling in materials-(6,7). Here we produce complex topologies of electrical polarization-namely, nanometre-scale vortex-antivortex (that is, clockwise-anticlockwise) arrays that are reminiscent of rotational spin topologies(6)-by making use of the competition between charge, orbital and lattice degrees of freedom in superlattices of alternating lead titanate and strontium titanate layers. Atomic-scale mapping of the polar atomic displacements by scanning transmission electron microscopy reveals the presence of long-range ordered vortex-antivortex arrays that exhibit nearly continuous polarization rotation. Phase-field modelling confirms that the vortex array is the low-energy state for a range of superlattice periods. Within this range, the large gradient energy from the vortex structure is counterbalanced by the corresponding large reduction in overall electrostatic energy (which would otherwise arise from polar discontinuities at the lead titanate/strontium titanate interfaces) and the elastic energy associated with epitaxial constraints and domain formation. These observations have implications for the creation of new states of matter (such as dipolar skyrmions, hedgehog states) and associated phenomena in ferroic materials, such as electrically controllable chirality."
FeElectric,WOS:000349942500019,19-Feb,2015,Ferroelectric Domain Wall Induced Band Gap Reduction and Charge Separation in Organometal Halide Perovskites,"Organometal halide perovskites have been intensely studied in the past S years, inspired by their certified high photovoltaic power conversion efficiency. Some of these materials are room-temperature ferroelectrics. The presence of switchable ferroelectric domains in methylammonium lead triiodide, CH3NH3PbI3, has recently been observed via piezoresponse force microscopy. Here, we focus on the structural and electronic properties of ferroelectric domain walls in CH3NH3PbX3 (X = Cl, Br, I). We find that organometal halide perovskites can form both charged and uncharged domain walls due to the flexible orientational order of the organic molecules. The electronic band gaps for domain structures possessing 180 and 90 walls are estimated with density functional theory. It is found that the presence of charged domain walls will significantly reduce the band gap by 20-40%, while the presence of uncharged domain walls has no substantial impact on the band gap. We demonstrate that charged domain walls can serve as segregated channels for the motions of charge carriers. These results highlight the importance of ferroelectric domain walls in hybrid perovskites for photovoltaic applications and suggest a possible avenue for device optimization through domain patterning."
FeElectric,WOS:000405901600042,21-Jul,2017,"An organic-inorganic perovskite ferroelectric with large piezoelectric response (vol 357, pg 306, 2017)","Molecular piezoelectrics are highly desirable for their easy and environment-friendly processing, light weight, low processing temperature, and mechanical flexibility. However, although 136 years have passed since the discovery in 1880 of the piezoelectric effect, molecular piezoelectrics with a piezoelectric coefficient d(33) comparable with piezoceramics such as barium titanate (BTO; similar to 190 picocoulombs per newton) have not been found. We show that trimethylchloromethyl ammonium trichloromanganese(II), an organic-inorganic perovskite ferroelectric crystal processed from aqueous solution, has a large d(33) of 185 picocoulombs per newton and a high phase-transition temperature of 406 kelvin (K) (16 K above that of BTO). This makes it a competitive candidate for medical, micromechanical, and biomechanical applications."
FeElectric,WOS:000348662400033,15-Feb,2015,Relaxor Ferroelectric BaTiO3-Bi(Mg2/3Nb1/3)O-3 Ceramics for Energy Storage Application,"Perovskite solid solution ceramics of (1-x)BaTiO3-xBi(Mg2/3Nb1/3)O-3 (BT-BMN) (x=0.05-0.2) were synthesized by solid-state reaction technique. The results show that the BMN addition could lower the sintering temperature of BT-based ceramics. X-ray diffraction results reveal a pure perovskite structure for all studied samples. Dielectric measurements exhibit a relaxor-like characteristic for the BT-BMN ceramics, where broadened phase transition peaks change to a temperature-stable permittivity plateau (from -50 degrees C to 300 degrees C) with increasing the BMN content (x=0.2), and slim polarization-electric field hysteresis loops were observed in samples with x0.1. The dielectric breakdown strength and electrical resistivity of BT-BMN ceramics show their maxima of 287.7kV/cm and 1.53x10(13)cm at x=0.15, and an energy density of about 1.13J/cm(3) is achieved in the sample of x=0.1."
FeElectric,WOS:000378280400007,16-Jul,2016,Dynamic molecular crystals with switchable physical properties,"The development of molecular materials whose physical properties can be controlled by external stimuli - such as light, electric field, temperature, and pressure - has recently attracted much attention owing to their potential applications in molecular devices. There are a number of ways to alter the physical properties of crystalline materials. These include the modulation of the spin and redox states of the crystal's components, or the incorporation within the crystalline lattice of tunable molecules that exhibit stimuli-induced changes in their molecular structure. A switching behaviour can also be induced by changing the molecular orientation of the crystal's components, even in cases where the overall molecular structure is not affected. Controlling intermolecular interactions within a molecular material is also an effective tool to modulate its physical properties. This Review discusses recent advances in the development of such stimuli-responsive, switchable crystalline compounds - referred to here as dynamic molecular crystals - and suggests how different approaches can serve to prepare functional materials."
FeElectric,WOS:000346214600001,15-Mar,2015,Advantages and challenges of relaxor-PbTiO3 ferroelectric crystals for electroacoustic transducers - A review,"Relaxor-PbTiO3 (PT) based ferroelectric crystals with the perovskite structure have been investigated over the last few decades due to their ultrahigh piezoelectric coefficients (d(33) > 1500 pC/N) and electromechanical coupling factors (k(33) > 90%), far outperforming state-of-the-art ferroelectric polycrystalline Pb(Zr,Ti)O-3 ceramics, and are at the forefront of advanced electroacoustic applications. In this review, the performance merits of relaxor-PT crystals in various electroacoustic devices are presented from a piezoelectric material viewpoint. Opportunities come from not only the ultrahigh properties, specifically coupling and piezoelectric coefficients, but through novel vibration modes and crystallographic/domain engineering. Figure of merits (FOMs) of crystals with various compositions and phases were established for various applications, including medical ultrasonic transducers, underwater transducers, acoustic sensors and tweezers. For each device application, recent developments in relaxor-PT ferroelectric crystals were surveyed and compared with state-of-the-art polycrystalline piezoelectrics, with an emphasis on their strong anisotropic features and crystallographic uniqueness, including engineered domain property relationships. This review starts with an introduction on electroacoustic transducers and the history of piezoelectric materials. The development of the high performance relaxor-PT single crystals, with a focus on their uniqueness in transducer applications, is then discussed. In the third part, various FOMs of piezoelectric materials for a wide range of ultrasound applications, including diagnostic ultrasound, therapeutic ultrasound, underwater acoustic and passive sensors, tactile sensors, acoustic tweezers and ultrasonic motors, are evaluated to provide a thorough understanding of the materials' behavior under operational conditions. Structure-property-performance relationships are then established. Finally, the impacts and challenges of relaxor-PT crystals are summarized to guide on-going and future research in the development of relaxor-PT crystals for the next generation electroacoustic transducers. (C) 2014 Elsevier Ltd. All rights reserved."
FeElectric,WOS:000401563200007,24-May,2017,Homogeneous/Inhomogeneous-Structured Dielectrics and their Energy-Storage Performances,"The demand for dielectric capacitors with higher energy-storage capability is increasing for power electronic devices due to the rapid development of electronic industry. Existing dielectrics for high-energy-storage capacitors and potential new capacitor technologies are reviewed toward realizing these goals. Various dielectric materials with desirable permittivity and dielectric breakdown strength potentially meeting the device requirements are discussed. However, some significant limitations for current dielectrics can be ascribed to their low permittivity, low breakdown strength, and high hysteresis loss, which will decrease their energy density and efficiency. Thus, the implementation of dielectric materials for high-energy-density applications requires the comprehensive understanding of both the materials design and processing. The optimization of high-energy-storage dielectrics will have far-reaching impacts on the sustainable energy and will be an important research topic in the near future."
FeElectric,WOS:000353606700041,22-Apr,2015,"Optoelectronic Studies of Methylammonium Lead Iodide Perovskite Solar Cells with Mesoporous TiO2: Separation of Electronic and Chemical Charge Storage, Understanding Two Recombination Lifetimes, and the Evolution of Band Offsets during J-V Hysteresis","Methylammonium lead iodide (MAPI) cells of the design FTO/sTiO(2)/mpTiO(2)/MAPI/Spiro-OMeTAD/Au, where FTO is fluorine-doped tin oxide, sTiO(2) indicates solid-TiO2, and mpTiO(2) is mesoporous TiO2, are studied using transient photovoltage (TPV), differential capacitance, charge extraction, current interrupt, and chronophotoamperometry. We show that in mpTiO(2)/MAPI cells there are two kinds of extractable charge stored under operation: a capacitive electronic charge (similar to 0.2 mu C/cm(2)) and another, larger charge (40 mu C/cm(2)), possibly related to mobile ions. Transient photovoltage decays are strongly double exponential with two time constants that differ by a factor of similar to 5, independent of bias light intensity. The fast decay (similar to 1 mu s at 1 sun) is assigned to the predominant charge recombination pathway in the cell. We examine and reject the possibility that the fast decay is due to ferroelectric relaxation or to the bulk photovoltaic effect. Like many MAPI solar cells, the studied cells show significant JV hysteresis. Capacitance vs open circuit voltage (V-oc) data indicate that the hysteresis involves a change in internal potential gradients, likely a shift in band offset at the TiO2/MAPI interface. The TPV results show that the Voc hysteresis is not due to a change in recombination rate constant. Calculation of recombination flux at V-oc suggests that the hysteresis is also not due to an increase in charge separation efficiency and that charge generation is not a function of applied bias. We also show that the JV hysteresis is not a light driven effect but is caused by exposure to electrical bias, light or dark."
